757,796,Offa,M
802,839,Egbert ,M
839,856,Aethelwulf,M
856,860,Aethelbald,M
860,866,Aethelbert,M
866,871,Aethelred I,M
871,899,Alfred the Great,M
899,925,Edward the Elder,M
925,940,Athelstan,M
940,946,Edmund,M
946,955,Edred,M
955,959,Edwy,M
959,975,Edgar,M
975,978,Edward the Martyr,M
978,1016,Ethelred II the Unready,M
1016,1016,Edmund lronside,M
1016,1035,Cnut (Canute),M
1035,1040,Harold I Harefoot,M
1040,1042,Harthacanut,M
1042,1066,Edward the Confessor ,M
1066,1066,Harold II,M
1066,1087,William I,M
1087,1100,William II,M
1100,1135,Henry I,M
1135,1154,Stephen,M
1154,1189,Henry II ,M
1189,1199,Richard I,M
1199,1216,John,M
1216,1272,Henry III,M
1272,1307,Edward I,M
1307,1327,Edward II,M
1327,1377,Edward III,M
1377,1399,Richard II,M
1399,1413,Henry IV,M
1413,1422,Henry V,M
1422,1461,Henry VI ,M
1461,1483,Edward IV,M
1483,1483,Edward V ,M
1483,1485,Richard III,M
1485,1509,Henry VII,M
1509,1547,Henry VIII,M
1547,1553,Edward VI,M
1553,1558,Mary I,F
1558,1603,Elizabeth I,F
1603,1625,James I,M
1625,1649,Charles I ,M
1649,1653,Commonwealth,M
1653,1658,Oliver Cromwell,M
1658,1659,Richard Cromwell,M
1660,1685,Charles II,M
1685,1688,James II,M
1689,1694,William III of Orange and Mary II (jointly),M
1694,1702,William III (alone) ,M
1702,1714,Anne,F
1714,1727,George I,M
1727,1760,George II,M
1760,1820,George III,M
1820,1830,George IV,M
1830,1837,William IV,M
1837,1901,Victoria,F
1901,1910,Edward VII,M
1910,1936,George V,M
1936,1936,Edward VIII,M
1936,1952,George VI,M
1952,2022,Elizabeth II,F
2022,,Charles III,M
